Libellé produit,Nature,sent_emb_logreg_pred,sent_emb_logreg_conf,ensemble_pred,ensemble_conf
Colle pour rats souris 135 g,Potager,Clavier souris,0.1680580238106406,Clavier souris,0.0958043926239422
Rasoir femme rechargeable,Epilateur,Autre soin personne,0.0888330335724724,Rasoir homme,0.0508418219399644
Lampe UV ongles,Autre soin personne,Lampe,0.4420778813119526,Lampe,0.3372632254588947
Dessus en verre pour commode 6 tiroirs NEO,Dessus de meuble,Boite de rangement,0.0899442752779787,Commode,0.0911352494236909
 mickey commode a langer 3 tiroirs sweetest little things,Table a langer,Commode,0.2888816334063688,Commode,0.3391659430965379
Poignée porte de réfrigérateur beko,Pièces détachées,Refrigerateur,0.6041549369543846,Refrigerateur,0.4267029010578501
Etagère murale contemporaine blanche fidji,Bibliotheque,Etagère,0.2685761833276038,Etagère,0.4335524672206501
Grill fonte alu 24 cm,Poele,Barbecue,0.2011702168809162,Poele,0.1542387346968758
Drap housse 140X190,Drap housse,Drap plat,0.4953858064071809,Drap housse,0.4585462200397018
 figari salon bas de jardin 4 places en résine tressée injectée noir avec coussins gris avec coffre couleur noir ,Ens table chaises,Salon de jardin,0.6156874525537641,Salon de jardin,0.5369378703050518
Commode en métal 4 casiers h 70 cm noir,Commode,Buffet,0.0517406107576442,Buffet,0.0782820579528041
Icaverne classeur à tiroirs famille fmd armoire mobile avec 5 tiroirs ch ne,Rangement bureau,Petit meuble séjour,0.0880159799121999,Rangement bureau,0.1303138480155883
Armoire murale double estel en métal gris foncé,Elément Haut SDB,Etagère,0.1766411206786784,Etagère,0.1453209189965044
Sommier + pieds + matelas ch ne oak decokit 140x190,Matelas + sommier,Meuble à chaussures,0.4592644394526938,Sommier,0.3631802324740046
Portant penderie à v tement porte manteau étagère pour chaussures hsr05w songmics,Portant,Meuble à chaussures,0.5698207720527128,Meuble à chaussures,0.3462596785943076
Tiroir pour lit bébé combiné évolutif 120x60 leaf,Tiroir de lit,Lit bébé,0.3560467574194789,Lit bébé,0.432540246727171
Bougie boule rustic 12cm bleu canard,Bougie,Bouilloire,0.1353455622565376,Bougie,0.2110328665030471
Lit double en pin massif naturel 140x200 cadre avec sommier à lattes et futon,Lit jeune,Lit adulte,0.596029230779453,Lit adulte,0.5175387774504028
Meuble rangement métallique 2 portes,Rangement bureau,Buffet,0.1840915865815134,Armoire,0.170571309537985
Stylé fauteuils famille bandar seri begawan fauteuil de massage shiatsu demi pu noir,Fauteuil relax,Fauteuil,0.5058599256439403,Fauteuil,0.391266375741107
Matelas 140x200 matelas réversible housse amovible hypoallergénique,Meuble à chaussures,Matelas,0.8567574181244608,Matelas,0.7538884735718762
Lampe de table industrielle demi lune en métal gris christian,Lampe de bureau,Lampe,0.5776100655213795,Lampe,0.5078262223758423
Minnie meuble de rangement pour chambre d enfant avec 6 bacs,Petit meuble séjour,Rangement enfant,0.3921631177979891,Rangement enfant,0.2637030616431433
Lampe de bureau flexible junior hauteur 30 cm 13 cm e27 40w blanc,Lampe,Lampe de bureau,0.3403102251550136,Lampe,0.2919536854831506
Canapé d angle convertible antoni avec t tières relevables simili noir,Canape droit,Canapé d'angle,0.8403465865078559,Canapé d'angle,0.7354063781940523
Entretien phytosanitaire 150 x 200 cm tapis de gazon synthétique Coloris vert disponible en plusieu,Accessoire jardin,Tapis de Salon et Ch,0.2909438573553026,Tapis de Salon et Ch,0.220576890919191
Vtech ordi tablette genius xl color noir,Jeu éducatif,Bureau,0.0744043800232303,Bureau,0.0762066870132777
Bureau sur roulettes,Bureau,Chaise de bureau,0.3153033053657937,Bureau,0.2740537025148434
Bibliothèque étagère de rangement style industriel 4 niveaux pour salon chambre bureau vintage lls54bx,Etagère,Bibliotheque,0.9319343595127002,Bibliotheque,0.6805964712235808
Parure de lit petits perroquets,Parure de lit,Housse de couette,0.2498730646431246,Housse de couette,0.141910994057324
Radiateur electrique fixe chauffage bain d huile 1000w,Radiateur,Chauffage d'appoint,0.4409265176258988,Chauffage d'appoint,0.4217008115576115
Ariete machine à expresso moderna 1080 w 800 ml rouge et noir,Expresso,Cafetière portionnée,0.0925212342771732,Expresso,0.0948401444546233
Table à café kumi gold,Table basse,Table,0.3757221185870805,Table basse,0.5026303212402261
Four multifonction 44l 2400w inox bmf44cps,Mini four,Four,0.7144041925990147,Four,0.4656463213724686
Parure de couette esprit romantique 240 x 220 cm,Accessoire textile,Parure de lit,0.6179321503274241,Parure de lit,0.4011373613929343
Paris prix cache pot déco weavy 25cm anthracite,Pot jardiniere,Tapis de cuisine,0.190706864200728,Tapis de cuisine,0.2295602327625428
Drap housse 100 coton 140x190x30 cm noir,Drap plat,Drap housse,0.5540868375446092,Drap housse,0.494986486011074
Rangement maquillage acrylique transparent 9 compartiments,Rangement sdb,Boite de rangement,0.1700549151263068,Boite de rangement,0.1792755081892234
Tuyau evacuation diametre 100 l 2 50 m pour seche linge faure 125022010,Pièces détachées,Etendoir a linge,0.2123485395717942,Pièces détachées,0.2426428106667204
Ardoise 20X30cm,Vaisselle,Couette,0.1454373881072719,Matelas,0.0691501308585134
Filtre à eau,Accessoire froid,Accessoire piscine,0.1789475561926832,Accessoire froid,0.0822894563299101
 gom z kit pop crée tes gommes,Loisirs créatifs,Jeu éducatif,0.2066387503886854,Loisirs créatifs,0.0702143879210977
Chaise de bureau enfant rose et blanche new marchande,Ensemble chambre,Chaise de bureau,0.2776615911656008,Chaise de bureau,0.4182708831521061
At4 etagere nuage blanc bleu,Accessoire ch enfant,Table basse,0.0609651803203891,Ensemble chambre,0.0548137053084559
Bleu calin lot de 2 oreillers volumineux 60x60 cm blanc,Oreiller,Taie d'oreiller,0.1338320109719896,Oreiller,0.2673021554633764
Stralis repose pied rectangulaire style moderne 41x43x56 cm pouf siège d appoint rev tement en tissu tressé bleu marin,Pouf / repose pied,Chaise,0.3058764759092184,Pouf / repose pied,0.2685416288753454
Tirelire t te de mort avec bonnet de pirate,Batteur,Jeu de société,0.0510784260807716,Objet deco,0.0577509080191829
Sur matelas 160x200 cm matelas viscoélastique,Meuble à chaussures,Matelas,0.6149790422640424,Matelas,0.6893690577819181
Machine à gla ons 12kg de gla ons en 24h ice maker rouge,Accessoire pem,Autre prep culinaire,0.276228959925889,Autre prep culinaire,0.2318451330408387
Homemania tapis imprimé smurfs town pour les enfants décoration de maison antidérapants pour salon séjour chambre à co,Tapis enfant,Papier peint,0.1493238014890885,Toile et laminage,0.1158470822668668
Mini commode à roulettes 4 tiroirs,Mini commode,Desserte,0.1040391539614877,Mini commode,0.1752309975505583
Méridienne chesterfield en velours gris nimes,Canape droit,Chaise,0.2601168842078112,Canape droit,0.188714388902192
Canapé lit simple avec lit gigogne couleur ch ne 97 x 209 x 66 cm,Housse bz,Lit adulte,0.6614281036942304,Lit adulte,0.4561495568637007
Lampe sur pied dorée wadi,Lampadaire,Lampe,0.8283486445142816,Lampe,0.6318924970781896
Matelas 120x200 en mousse à 11 zones différenciées modèle sofia,Meuble à chaussures,Matelas,0.8547333965254788,Matelas,0.7616790892336579
Tour cd dvd pivotante plaquée ch ne 135 cm quimper,Bibliotheque,Lecteur dvd,0.1848764419923302,Bibliotheque,0.1085454476899731
