Libellé produit,Nature,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf,ensemble_pred,ensemble_conf
Coussin 40x40 cm,Coussin,Housse de coussin,0.2697926553199082,Coussin,0.5848368912837582
Tectake tente familiale 6 places gris clair gris foncé,Matériel camping,Salon de jardin,0.0669946506926087,Friteuse,0.1042192646316676
Canapé d angle gauche convertible santiago gris,Friteuse,Canapé d'angle,0.6337031331009854,Canapé d'angle,0.7708931672540908
Lena canapé d angle en tissu bleu canard convertible modulable angle droit,Friteuse,Canapé d'angle,0.6922709576115199,Canapé d'angle,0.7759725754048536
Rideau de douche modele madison,Abattant wc,Rideau de douche,0.2577258167443652,Rideau de douche,0.3736533095672606
Chaise longue hwc d80 en polyrotin anthracite coussin beige,Bain de soleil,Chaise,0.1745658865186908,Chaise,0.1788334491521904
Songmics filet de remplacement de trampoline diamètre 366 cm filet de sécurité pour 6 poteaux droits filet rond stn12ft,Accessoire jeux ext,Trampoline,0.4905615731096714,Trampoline,0.368232970785925
Meuble sous vasque sonoma blanc 60 8 x 60 x 33 cm hxlxp ,Rangement sdb,Element bas SDB,0.2391723054303219,Cadre à lattes,0.1795148584324324
S che linge ouverture hublot,Seche linge,Lave linge,0.1593971802564786,Seche linge,0.1156029352793504
Atmosphera bac à linge laverie rose h 54 cm,Panier,Lampe,0.0687414449933671,Lave linge,0.2830232545871189
Silverstone sst st50f es 230 strider essential series,Boitier alim PC,Ustensiles,0.0174602400423705,Mini four,0.0519929215037998
 folke vintage canapé d angle réversible convertible style scandinave rétro microfibre marron vieilli ,Friteuse,Canapé d'angle,0.5117101355402086,Canapé d'angle,0.4898639891051025
Brosse à dents électrique oral b pro600 cross action,Accessoire sdb,Hygiene dentaire,0.2232740816888458,Hygiene dentaire,0.3429885363204863
Matelas bultex inox 120x200 mousse,Meuble à chaussures,Matelas,0.5971498099123269,Matelas,0.7242330344826
Raccord pied télévision lg maz63709002,Accessoire vidéoproj,Tv ecran plat,0.047406683554088,Tv ecran plat,0.1887245602038882
Meuble bas 1 porte et 1 tiroir,Element bas SDB,Meuble bas cuisine,0.4808759662143491,Meuble bas cuisine,0.5115373872793553
 tagère bois noir gota 75x100 atmosphera,Bibliotheque,Etagère,0.230181262857897,Etagère,0.1964609567476294
Table de cuisine table haute de bar table 110x50x80cm sobuy fsb28 dn,Buffet de cuisine,Table,0.4183180550964568,Table,0.5171146300057805
Miroir de salle à manger carré coloris ch ne saphir,Miroir,Chaise,0.1922487391484866,Table,0.1206076594980617
Armoire adulte moderne 200 cm ch ne noir france,Structure armoire,Lit adulte,0.3161121859209564,Lit adulte,0.1486888571947896
Giantex armoire de rangement penderie de v tement portable avec 3 barres cadre en acier charge max 31kg 120x45x180 cm noir,Structure armoire,Penderie,0.1809694746994816,Penderie,0.0900925003972722
Tosel olsen lampadaire acier et bois crème 1xe27 abat jour cloche acier crème 80 x 120 170 cm créme,Lampadaire liseuse,Lampadaire,0.4412740763444683,Lampadaire,0.190886148236638
Mini four électrique avec grill 1500w plateau grill couleur blanc,Four,Mini four,0.212896882251762,Barbecue,0.1692446038255947
Chevalet d artiste sur pieds inclinaison et hauteur réglable dim 65l x 68l x 174 230h cm bois de h tre clair,Loisirs créatifs,Tabouret,0.0821353461879486,Voilage,0.0657793532352766
Klum meuble escalier contemporain melamine blanc brillant l 145 cm,Etagère,Meuble tv,0.2007700819302132,Bibliotheque,0.1089921140981236
Tectake taille haie électrique 2 en 1,Taille haie,Petit outillage,0.1041260207577707,Petit outillage,0.0863286810549167
Canapé banquette en velours sonia bleu,Friteuse,Canape droit,0.4340883690624963,Canape droit,0.2686115516799994
Lampadaire 159 cm,Lustre,Lampadaire,0.347302953769304,Lampadaire,0.6969065825232645
Giantex aspirateur vertical 14kpa 2 en 1 balai vapeur sans sac avec fil de 8m puissance maximale 1000w idéal pour tapis sol cap,Décapeur thermique,Aspirateur balai,0.2792120158934037,Aspirateur balai,0.1653396151190784
Protege matelas alese blanc 160x200cm,Housse sommier,Protege matelas,0.1389807054820839,Protege matelas,0.3674171959394398
Tron onneuse jouet pour enfant à partir de 3 ans rouge,Jeu d'imitation,Rangement enfant,0.1103951798737749,Rangement enfant,0.1166293728245529
Giantex armoire murale salle de bain placard de rangement toilettes avec miroir meuble de rangement avec étagères à hauteur r,Miroir salle de bain,Rangement sdb,0.4677085618926148,Rangement sdb,0.3773135673946226
Sogo ket ss 5785 r retro chauffe eau sans fil classe énergétique a rouge,Bouilloire,Chaise de bureau,0.0393067449879087,Bouilloire,0.0797861855381869
Mixilit banc avec coffre simili cuir blanc,Banc de lit,Lit adulte,0.217717435996895,Pouf / repose pied,0.1132432665011638
Armoire danz fonctionnelle rangement 2 portes et 2 tiroirs blanc,Commode,Armoire,0.2554411927550621,Armoire,0.1937474261634018
Buffet nina ch ne clair et blanc 180 x42,Meuble tv,Buffet,0.3655174263279577,Buffet,0.380545222477439
Alpexe c ble magnétique compatible apple watch série watch pour 38mm 42mm 40mm 44mm apple series 4 3 2 1 1m ,Chargeur,Acc telephonie,0.144834973439646,Montre et bracelet,0.280283860389012
Store à fines rayures 60 x 180 cm,Voilage,Store,0.2064289358248796,Voilage,0.3159336391793257
Lot de 2 tables basses de forme carré en métal anti éraillures de 35 cm et 40 cm noires mat en casa ,Petit meuble séjour,Table basse,0.436092674551519,Table basse,0.3846588706714492
Kensington kensington suretrack,Clavier souris,Access. PC Tablette,0.0160878552074716,Canape droit,0.0852174539156749
Plateau en manguier sur pied pliable,Table basse,Table,0.1745662984192821,Plateau,0.1893644906873687
Canapé lit 2 places convertible tissu argenté,Friteuse,Canape droit,0.5994086258357422,Canape droit,0.7817314032194107
Matelas ferme pour tous clic clac + alèse 130x190 x 15 cm avec mémoire de forme sur face hiver découpe assise 70 cm 5 zones ,Meuble à chaussures,Matelas,0.7892807518614888,Matelas,0.7443321490104062
Fauteuil design swing noir,Pouf / repose pied,Fauteuil,0.3263882564024396,Fauteuil,0.3086314107553779
Gobelet 37 cl,Verre,Set verre,0.072681424338504,Verre,0.1591819330738739
Distingué ensembles de meubles ligne bangkok table et tabourets de bar 7 pcs bois d acacia massif,Chariot de courses,Tabouret,0.1646261275530917,Ens table chaises,0.1822032033690593
