Libellé produit,Nature,camembert_logreg_pred,camembert_logreg_conf,ensemble_pred,ensemble_conf,knn_conformity_pred,knn_conformity_conf,sent_emb_logreg_pred,sent_emb_logreg_conf,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf
Mahio chaise suspendue brésilienne hamac balan oire de jardin charge maximale 100 kg idéale pour le jardin ou la chambre ,Bain de soleil,Bain de soleil,0.1076235350381174,Hamac,0.1192412953180582,Ens table chaises,0.35,Hamac,0.2550115599485311,Hamac,0.1316207423144572
Feuille tropicale,Decoration de noel,Decoration de noel,0.0951929521844903,Fauteuil,0.0884497043206348,Fauteuil,0.3,Objet deco,0.1211702313298383,Fauteuil,0.0216153732381203
Ensemble bureau avec meuble de rangementet chaise hauteur réglable bleu,Bureau,Bureau,0.4915054376621901,Chaise de bureau,0.552938238092464,Chaise de bureau,0.95,Chaise de bureau,0.6962019485344078,Chaise de bureau,0.4888395583426047
Banquette coffre valence xl tissu + 3 poufs noir,Coffre,Coffre,0.1131997066813505,Pouf / repose pied,0.2023425051796047,Banquette,0.2,Banquette,0.2015833852283658,Pouf / repose pied,0.4882219013269576
Tapis de bain taormina lagos,Tapis de Salon et Ch,Tapis de Salon et Ch,0.1232128891995647,Tapis salle de bain,0.2974445381760705,Tapis salle de bain,0.2,Tapis salle de bain,0.6364765497046828,Tapis salle de bain,0.2351146217612075
 bobochic torp canapé droit convertible 3 places avec coffre couleur bleu canard ,Friteuse,Friteuse,0.427887757573466,Canape droit,0.4235342658313957,Canape droit,0.4,Canape droit,0.5182502398920183,Canape droit,0.4580091502125439
List etagère 3 plateaux,Bibliotheque,Bibliotheque,0.1410506090860245,Etagère,0.3059799536842955,Canape droit,0.2,Etagère,0.4835932882484057,Etagère,0.4019133660918942
Ensemble salon de jardin 2 places 2 fauteuils et table basse plateau verre trempé résine tressée imitation rotin chocolat fonc,Ens table chaises,Ens table chaises,0.4550626663144903,Salon de jardin,0.3860683818902726,Salon de jardin,0.5,Salon de jardin,0.4046946064137326,Salon de jardin,0.3876299383183228
Plume patapouf ourson creme petit,Peluche,Peluche,0.2755767532530576,Pouf / repose pied,0.1413481080657764,Chaise,0.2,Ustensiles,0.0848879946133032,Pouf / repose pied,0.348954630663052
Option sommier coffre 2x80 X 200 cm,Lit adulte,Lit adulte,0.3289292024465183,Sommier,0.3276482727381287,Couette,0.35,Sommier,0.5045902773492645,Sommier,0.4144182740482945
