Libellé produit,Nature,camembert_logreg_pred,camembert_logreg_conf,ensemble_pred,ensemble_conf,knn_conformity_pred,knn_conformity_conf,sent_emb_logreg_pred,sent_emb_logreg_conf,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf
Surmatelas 90x190 cm,Meuble à chaussures,Surmatelas,0.2824870911327903,Meuble à chaussures,0.1759756066688094,Sommier,0.3,Sommier,0.1895006741407024,Surmatelas,0.3826452416566841
Cartes micro sd evo plus 32 go,Acc telephonie,Pc portable,0.1257476880829793,Acc telephonie,0.0681434299439316,Matelas,0.2,Access. PC Tablette,0.0936339677537333,Pc portable,0.033223119919434
Roba table à langer pliable murale lovely bear,Table a langer,Table,0.108534944124831,Table a langer,0.1584283084078792,Chevet,0.2,Table,0.1746620797435024,Table,0.2109943760043614
Aff teur électrique lion sabatier lion sabatier,Ustensiles,Objet deco,0.1463573331269677,Ustensiles,0.0620565954602723,Fauteuil,0.15,Clavier souris,0.0729745722467912,Sommier,0.0460646287219251
Commode moderne design de salon à 6 tiroirs meuble de rangement stylé panneau de particules mélaminé 77 5 x 160 x 48 cm blanc e,Petit meuble séjour,Meuble tv,0.1997526539984128,Petit meuble séjour,0.1848146828683231,Table,0.35,Commode,0.1318895151568283,Commode,0.3066720207176058
Portant à v tements en bambou penderie porte manteaux rangement 159 cm helloshop26 2013108,Portant,Porte manteau,0.2267433053951573,Portant,0.180870687417858,Patere,0.1,Porte manteau,0.1788695548892774,Penderie,0.3135946879307351
Giantex toboggan pour enfants marches avec bandes antidérapantes jeu plein air 121x 47 5 x 67 5 cm jusqu à 30 kg 5 mois à 8 a,Toboggan,Meuble à chaussures,0.0567714314152791,Toboggan,0.0511607132718723,Appareil musculation,0.15,Matelas,0.1243444379506248,Meuble à chaussures,0.0349893458323398
Panneau a oeillets 140 x 240 cm organza devore rondosange gris,Voilage,Rideau,0.1812529502673446,Voilage,0.1357740723456605,Matelas,0.25,Fauteuil,0.1393198190539938,Rideau,0.2522750147548349
Kensington repose poignet clavier en gel noir,Access. PC Tablette,Clavier souris,0.0950194380594422,Access. PC Tablette,0.0435198330788617,Accessoire bureau,0.1,Chevet,0.106325986031686,Clavier souris,0.0657127924227828
Shell luge large avec poignées et corde de traction bleu,Jeux d'exterieur,Accessoire fitness,0.0930678849235133,Jeux d'exterieur,0.0514445091640244,Fauteuil,0.1,Pouf / repose pied,0.089367133735956,Appareil musculation,0.0666477390467185
