Libellé produit,Nature,camembert_logreg_pred,camembert_logreg_conf,ensemble_pred,ensemble_conf,knn_conformity_pred,knn_conformity_conf,sent_emb_logreg_pred,sent_emb_logreg_conf,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf
Meuble de rangement rustique pin massif avec coeur 3 tiroirs terroir,Chiffonnier,Buffet,0.2009909931072749,Buffet,0.0990778363442737,Meuble à chaussures,0.2,Chiffonnier,0.0949331501288061,Commode,0.130873907140405
Montage Canapé 4 à 6 places Convertible,Montage Canapé,Canape droit,0.4062625504915887,Canape droit,0.2528982359984613,Canape droit,0.3,Montage Canapé,0.3228531165729648,Canape droit,0.2543378324174505
Giantex oreiller de lecture coussin de soutien lombaire rembourrage en mousse à mémoire de forme cale nuque et housse détacha,Oreiller,Matelas + sommier,0.1195867328147102,Matelas,0.3103890091254672,Matelas,0.9,Oreiller,0.121434222379806,Matelas,0.1323887735646697
Lit simple 1 personne 90 x 200cm en bois blanc avec sommier à lattes lit06085,Cadre à lattes,Lit adulte,0.5046793116772162,Lit jeune,0.3391539716664015,Sommier,0.75,Cadre à lattes,0.5881782255785479,Lit jeune,0.5902742185303598
Cuiseurs à ufs électrique omelette brouillé doux moyen chaudière à cuisson dure avec arr t automatique ,Cuiseur vapeur,Friteuse,0.0431835311527801,Desserte,0.0825304426475198,Desserte,0.25,Cuiseur vapeur,0.0959641705695103,Meuble à chaussures,0.0520990029026825
Sweetnight protège matelas 140x190 200 cm alèse imperméable et absorbante,Meuble à chaussures,Protege matelas,0.3964512402859921,Protege matelas,0.3733975887548472,Protege matelas,0.35,Meuble à chaussures,0.2843668848571236,Protege matelas,0.5326911629723957
Banc banquette kriens xxl 180x45x45cm cuir reconstitué marron,Tabouret,Coffre,0.0963321407995352,Coffre,0.0962540880021109,Canape droit,0.25,Tabouret,0.1331652773629598,Coffre,0.10053071873817
Guirlande LED,Objets lumineux,Guirlande lumineuse,0.4013112541309094,Guirlande lumineuse,0.2154349082651389,Tv ecran plat,0.25,Objets lumineux,0.3445666874042027,Guirlande lumineuse,0.2505135995283067
Station de musculation multifonctions barre de traction chaise romaine hauteur réglable acier noir rouge,Accessoire fitness,Appareil musculation,0.2683157325512957,Appareil musculation,0.3868226298377941,Appareil musculation,0.65,Accessoire fitness,0.3575075107316129,Appareil musculation,0.4694536218104568
Commode futon 2 tiroirs wengé,Mini commode,Commode,0.2766112082315386,Commode,0.3434330920053691,Commode,0.55,Mini commode,0.3068734743397437,Commode,0.2662546852203543
